;Consumers price index (CPI);Consumers price index (CPI);Consumers price index (CPI);Tradable inflation;Tradable inflation;Tradable inflation;Non-tradable inflation;Non-tradable inflation;Non-tradable inflation;Food;Food;Food;Housing and household utilities;Housing and household utilities;Housing and household utilities;Transportation;Transportation;Transportation;Petrol;Petrol;Petrol;CPI excluding petrol;CPI excluding petrol;CPI excluding petrol;Trimmed mean;Trimmed mean;Weighted median;Weighted median;Factor model;Sectoral factor model;Sectoral factor model - tradable core;Sectoral factor model - non-tradable core;PropertyIQ House price index (HPI);PropertyIQ House price index (HPI);PropertyIQ House price index (HPI);GDP deflator;GDP deflator;GDP deflator;Producers price index (PPI) inputs;Producers price index (PPI) inputs;Producers price index (PPI) inputs;Producers price index (PPI) outputs;Producers price index (PPI) outputs;Producers price index (PPI) outputs
;(Index);(q/q%);(y/y%);(Index);(q/q%);(y/y%);(Index);(q/q%);(y/y%);(Index);(q/q%);(y/y%);(Index);(q/q%);(y/y%);(Index);(q/q%);(y/y%);(Index);(q/q%);(y/y%);(Index);(q/q%);(y/y%);(q/q%);(y/y%);(q/q%);(y/y%);(y/y%);(y/y%);(y/y%);(y/y%);(Index);(q/q%);(y/y%);(Index s.a.);(q/q% s.a.);(y/y% s.a.);(Index);(q/q%);(y/y%);(Index);(q/q%);(y/y%)
Notes;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Unit;Index;%;%;Index;%;%;Index;%;%;Index;%;%;Index;%;%;Index;%;%;Index;%;%;Index;%;%;%;%;%;%;%;%;;;Index;%;%;Index;;%;;%;%;;%;%
Series Id;CPI.Q.C.ia;CPI.Q.C.iaq;CPI.Q.C.iay;CPIT.Q.C.ia;CPIT.Q.C.iaq;CPIT.Q.C.iay;CPIN.Q.C.ia;CPIN.Q.C.iaq;CPIN.Q.C.iay;CPI.Q.C01.ia;CPI.Q.C01.iaq;CPI.Q.C01.iay;CPI.Q.C04.ia;CPI.Q.C04.iaq;CPI.Q.C04.iay;CPI.Q.C07.ia;CPI.Q.C07.iaq;CPI.Q.C07.iay;CPI.Q.C07202.ia;CPI.Q.C07202.iaq;CPI.Q.C07202.iay;CPI.Q.ZC21.ia;CPI.Q.ZC21.iaq;CPI.Q.ZC21.iay;CPI.Q.ZC40.iaq;CPIM.Q.C40T10B17.iay;CPI.Q.ZC41.iaq;CPIW.Q.C41P50B17.iay;CPI.Q.ZC42.iay;CPI.Q.ZC43.iay;CPI.Q.ZC431.iay;CPI.Q.ZC432.iay;HPI.Q.H01T0.ia;HPI.Q.H01T0.iaq;HPI.Q.H01T0.iay;GDE.Q.DY.RS;GDE.Q.DY.rsq;GDE.Q.DY.rsy;PPI06.Q.T0I1.ia;PPI06.Q.T0I1.iaq;PPI06.Q.T0I1.iay;PPI06.Q.T0I2.ia;PPI06.Q.T0I2.iaq;PPI06.Q.T0I2.iay
mar 1988;516;1,8;9,0;;;;;;;497;2,4;6,6;;;;;;;465;0,0;4,4;;;;;;;;;;;;;;;629;2,9;;529;1,0;5,7;546;0,6;5,9
jun 1988;520;0,8;6,3;;;;;;;504;1,4;5,7;;;;;;;457;-1,8;-1,8;;;;;;;;;;;;;;;626;-0,5;5,7;537;1,5;4,9;556;1,9;5,2
set 1988;524;0,9;5,6;;;;;;;509;0,9;5,5;;;;;;;453;-0,9;-2,7;;;;;;;;;;;;;;;655;4,6;8,6;545;1,5;5,0;567;1,9;5,7
dez 1988;531;1,2;4,7;;;;;;;518;1,9;6,8;;;;;;;447;-1,2;-3,9;;;;;;;;;;;;;;;649;-0,9;6,2;552;1,2;5,3;577;1,8;6,4
mar 1989;536;1,1;4,0;;;;;;;522;0,7;5,0;;;;;;;445;-0,4;-4,3;;;;;;;;;;;;;;;654;0,8;4,0;562;1,9;6,3;587;1,7;7,5
jun 1989;543;1,2;4,4;;;;;;;534;2,3;5,9;;;;;;;463;4,0;1,3;;;;;;;;;;;;;;;660;0,9;5,4;572;1,8;6,5;595;1,4;7,0
set 1989;562;3,5;7,2;;;;;;;569;6,6;11,9;;;;;;;463;0,1;2,3;;;;;;;;;;;;;;;675;2,3;3,1;587;2,5;7,7;610;2,6;7,7
dez 1989;569;1,2;7,2;;;;;;;579;1,6;11,6;;;;;;;463;-0,1;3,5;;;;;;;;;;;;467;;;691;2,4;6,5;595;1,4;7,8;619;1,4;7,2
mar 1990;574;0,9;7,0;;;;;;;579;0,0;10,8;;;;;;;468;1,0;5,0;;;;;;;;;;;;477;2,1;;691;0,0;5,7;599;0,8;6,6;624;0,8;6,3
jun 1990;584;1,8;7,6;;;;;;;590;2,1;10,6;;;;;;;470;0,6;1,6;;;;;;;;;;;;480;0,7;;684;-1,0;3,6;605;1,0;5,8;628;0,7;5,5
set 1990;590;1,0;5,0;;;;;;;598;1,3;5,1;;;;;;;478;1,6;3,1;;;;;;;;;;;;483;0,6;;696;1,8;3,1;605;-0,1;3,1;622;-0,9;1,9
dez 1990;596;1,1;4,9;;;;;;;598;-0,1;3,3;;;;;;;544;13,9;17,5;;;;;;;;;;;;482;-0,2;3,2;691;-0,7;0,0;614;1,5;3,2;624;0,2;0,8
mar 1991;600;0,6;4,5;;;;;;;598;0,0;3,3;;;;;;;518;-4,8;10,8;;;;;;;;;;;;479;-0,6;0,5;684;-1,0;-1,0;610;-0,6;1,8;624;0,1;0,1
jun 1991;601;0,1;2,8;;;;;;;596;-0,3;1,0;;;;;;;490;-5,3;4,2;;;;;;;;;;;;470;-2,0;-2,2;690;0,9;0,9;609;-0,1;0,7;626;0,3;-0,2
set 1991;603;0,4;2,2;;;;;;;599;0,4;0,1;;;;;;;494;0,7;3,3;;;;;;;;;;;;468;-0,2;-3,0;701;1,6;0,7;611;0,2;1,0;625;-0,2;0,4
dez 1991;602;-0,1;1,0;;;;;;;593;-1,0;-0,9;;;;;;;508;2,9;-6,7;;;;;;;;1,8;;;;466;-0,5;-3,2;698;-0,4;1,0;614;0,5;0,0;628;0,4;0,7
mar 1992;605;0,4;0,8;;;;;;;592;-0,1;-1,0;;;;;;;500;-1,6;-3,5;;;;;;;;1,3;;;;468;0,4;-2,3;704;0,9;2,9;618;0,6;1,3;633;0,8;1,3
jun 1992;606;0,3;1,0;;;;;;;591;-0,1;-0,8;;;;;;;500;0,0;2,0;;;;;;;;1,4;;;;467;-0,1;-0,5;704;0,0;2,0;621;0,4;1,8;637;0,8;1,8
set 1992;609;0,3;1,0;;;;;;;601;1,7;0,4;;;;;;;511;2,2;3,5;;;;;;;;1,6;;;;470;0,6;0,4;699;-0,7;-0,3;625;0,7;2,4;642;0,7;2,7
