,Production-based gross domestic product (GDP),Production-based gross domestic product (GDP),Production-based gross domestic product (GDP),Production-based gross domestic product (GDP),Expenditure-based gross domestic product (GDP),Expenditure-based gross domestic product (GDP),Expenditure-based gross domestic product (GDP),Expenditure-based gross domestic product (GDP),Expenditure-based gross domestic product (GDP),Expenditure-based gross domestic product (GDP),Expenditure-based gross domestic product (GDP),Expenditure-based gross domestic product (GDP),Private final consumption expenditure,Private final consumption expenditure,Private final consumption expenditure,Private final consumption expenditure,Private final consumption expenditure,Private final consumption expenditure,Private final consumption expenditure,Private final consumption expenditure,General government final consumption expenditure,General government final consumption expenditure,General government final consumption expenditure,General government final consumption expenditure,General government final consumption expenditure,General government final consumption expenditure,General government final consumption expenditure,General government final consumption expenditure,Change in inventories,Change in inventories,Change in inventories,Change in inventories,Gross fixed capital formation - residential buildings,Gross fixed capital formation - residential buildings,Gross fixed capital formation - residential buildings,Gross fixed capital formation - residential buildings,Gross fixed capital formation - residential buildings,Gross fixed capital formation - residential buildings,Gross fixed capital formation - residential buildings,Gross fixed capital formation - residential buildings,Gross fixed capital formation - other fixed assets,Gross fixed capital formation - other fixed assets,Gross fixed capital formation - other fixed assets,Gross fixed capital formation - other fixed assets,Gross fixed capital formation - other fixed assets,Gross fixed capital formation - other fixed assets,Gross fixed capital formation - other fixed assets,Gross fixed capital formation - other fixed assets,Gross national expenditure,Gross national expenditure,Gross national expenditure,Gross national expenditure,Gross national expenditure,Gross national expenditure,Gross national expenditure,Gross national expenditure,Exports of goods and services,Exports of goods and services,Exports of goods and services,Exports of goods and services,Exports of goods and services,Exports of goods and services,Exports of goods and services,Exports of goods and services,Imports of goods and services,Imports of goods and services,Imports of goods and services,Imports of goods and services,Imports of goods and services,Imports of goods and services,Imports of goods and services,Imports of goods and services
,(Real $m),(Real $m s.a.),(Real q/q% s.a.),(Real y/y%),(Nominal $m),(Nominal $m s.a.),(Nominal q/q% s.a.),(Nominal y/y%),(Real $m),(Real $m s.a.),(Real q/q% s.a.),(Real y/y%),(Nominal $m) ,(Nominal $m s.a.),(Nominal q/q% s.a.),(Nominal y/y%),(Real $m),(Real $m s.a.),(Real q/q% s.a.),(Real y/y%),(Nominal $m),(Nominal $m s.a.),(Nominal q/q% s.a.),(Nominal y/y%),(Real $m),(Real $m s.a.),(Real q/q% s.a.),(Real y/y%),(Nominal $m),(Nominal $m s.a.),(Real $m),(Real $m s.a.),(Nominal $m),(Nominal $m s.a.),(Nominal q/q% s.a.),(Nominal y/y%),(Real $m),(Real $m s.a.),(Real q/q% s.a.),(Real y/y%),(Nominal $m),(Nominal $m s.a.),(Nominal q/q% s.a.),(Nominal y/y%),(Real $m),(Real $m s.a.),(Real q/q% s.a.),(Real y/y%),(Nominal $m),(Nominal $m s.a.),(Nominal q/q% s.a.),(Nominal y/y%),(Real $m),(Real $m s.a.),(Real q/q% s.a.),(Real y/y%),(Nominal $m),(Nominal $m s.a.),(Nominal q/q% s.a.),(Nominal y/y%),(Real $m),(Real $m s.a.),(Real q/q% s.a.),(Real y/y%),(Nominal $m),(Nominal $m s.a.),(Nominal q/q% s.a.),(Nominal y/y%),(Real $m),(Real $m s.a.),(Real q/q% s.a.),(Real y/y%)
Notes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unit,NZDm(r),NZDm(r) s.a.,%(r) s.a.,%(r),NZDm,NZDm s.a.,% s.a.,%,NZDm(r),NZDm(r) s.a.,%(r) s.a.,%(r),NZDm,NZDm s.a.,% s.a.,%,NZDm(r),NZDm(r) s.a.,%(r) s.a.,%(r),NZDm,NZDm s.a.,% s.a.,%,NZDm(r),NZDm(r) s.a.,%(r) s.a.,%(r),NZDm,NZDm s.a.,NZDm(r),NZDm(r) s.a.,NZDm,NZDm s.a.,% s.a.,%,NZDm(r),NZDm(r) s.a.,%(r) s.a.,%(r),NZDm,NZDm s.a.,% s.a.,%,NZDm(r),NZDm(r) s.a.,%(r) s.a.,%(r),NZDm,NZDm s.a.,% s.a.,%,NZDm(r),NZDm(r) s.a.,%(r) s.a.,%(r),NZDm,NZDm s.a.,% s.a.,%,NZDm(r),NZDm(r) s.a.,%(r) s.a.,%(r),NZDm,NZDm s.a.,% s.a.,%,NZDm(r),NZDm(r) s.a.,%(r) s.a.,%(r)
Series Id,GDP06.Q.QT0.ra,GDP06.Q.QT0.rs,GDP06.Q.QT0.rsq,GDP06.Q.QT0.ray,GDE.Q.EY.NA,GDE.Q.EY.NS,GDE.Q.EY.nsq,GDE.Q.EY.nay,GDE.Q.EY.RA,GDE.Q.EY.RS,GDE.Q.EY.rsq,GDE.Q.EY.ray,GDE.Q.EC1.NA,GDE.Q.EC1.NS,GDE.Q.EC1.nsq,GDE.Q.EC1.nay,GDE.Q.EC1.RA,GDE.Q.EC1.RS,GDE.Q.EC1.rsq,GDE.Q.EC1.ray,GDE.Q.EG13.NA,GDE.Q.EG13.NS,GDE.Q.EG13.nsq,GDE.Q.EG13.nay,GDE.Q.EG13.RA,GDE.Q.EG13.RS,GDE.Q.EG13.rsq,GDE.Q.EG13.ray,GDE.Q.EI23.NA,GDE.Q.EI23.NS,GDE.Q.EI23.RA,GDE.Q.EI23.RS,GDE.Q.EI24.NA,GDE.Q.EI24.NS,GDE.Q.EI24.nsq,GDE.Q.EI24.nay,GDE.Q.EI24.RA,GDE.Q.EI24.RS,GDE.Q.EI24.rsq,GDE.Q.EI24.ray,GDE.Q.EI25.NA,GDE.Q.EI25.NS,GDE.Q.EI25.nsq,GDE.Q.EI25.nay,GDE.Q.EI25.RA,GDE.Q.EI25.RS,GDE.Q.EI25.rsq,GDE.Q.EI25.ray,GDE.Q.EY1.NA,GDE.Q.EY1.NS,GDE.Q.EY1.nsq,GDE.Q.EY1.nay,GDE.Q.EY1.RA,GDE.Q.EY1.RS,GDE.Q.EY1.rsq,GDE.Q.EY1.ray,GDE.Q.EX.NA,GDE.Q.EX.NS,GDE.Q.EX.nsq,GDE.Q.EX.nay,GDE.Q.EX.RA,GDE.Q.EX.RS,GDE.Q.EX.rsq,GDE.Q.EX.ray,GDE.Q.EM.NA,GDE.Q.EM.NS,GDE.Q.EM.nsq,GDE.Q.EM.nay,GDE.Q.EM.RA,GDE.Q.EM.RS,GDE.Q.EM.rsq,GDE.Q.EM.ray
Jun 1987,"27,637","28,008",,,"15,528","15,802",,,"26,084","26,681",,,"9,117","9,099",,,"15,084","15,062",,,"2,715","2,686",,,"5,466","5,490",,,-497,30,-534,32,642,637,,,"1,509","1,481",,,"3,189","3,206",,,"3,405","3,428",,,"15,166","15,629",,,"24,701","25,556",,,"4,342","4,217",,,"5,722","5,490",,,"3,980","4,038",,,"4,596","4,640",,
Sep 1987,"27,779","28,160",0.5,,"15,790","16,122",2.0,,"26,501","26,757",0.3,,"9,381","9,281",2.0,,"15,361","15,167",0.7,,"2,838","2,851",6.1,,"5,624","5,596",1.9,,-307,-105,-330,-67,719,709,11.3,,"1,647","1,624",9.7,,"3,218","3,136",-2.2,,"3,463","3,364",-1.9,,"15,848","15,800",1.1,,"25,494","25,203",-1.4,,"3,994","4,199",-0.4,,"5,464","5,726",4.3,,"4,052","3,876",-4.0,,"4,638","4,451",-4.1,
Dec 1987,"29,139","28,290",0.5,,"16,979","16,366",1.5,,"27,754","26,774",0.1,,"9,831","9,506",2.4,,"15,896","15,354",1.2,,"2,979","2,908",2.0,,"5,833","5,603",0.1,,240,-129,319,-133,741,701,-1.1,,"1,704","1,629",0.3,,"3,086","3,000",-4.3,,"3,342","3,257",-3.2,,"16,878","16,057",1.6,,"26,948","25,657",1.8,,"4,150","4,218",0.5,,"5,595","5,710",-0.3,,"4,049","3,914",1.0,,"4,910","4,730",6.3,
Mar 1988,"28,101","28,181",-0.4,,"16,870","16,854",3.0,,"26,699","26,812",0.1,,"9,173","9,611",1.1,,"14,573","15,299",-0.4,,"2,912","3,007",3.4,,"5,279","5,522",-1.4,,151,-223,193,-193,651,708,1.0,,"1,511","1,641",0.7,,"2,928","3,072",2.4,,"3,167","3,320",1.9,,"15,814","16,207",0.9,,"24,631","25,343",-1.2,,"4,554","4,401",4.3,,"5,897","5,759",0.9,,"3,498","3,741",-4.4,,"4,292","4,619",-2.3,
Jun 1988,"27,666","28,047",-0.5,0.1,"16,513","16,771",-0.5,6.3,"26,221","26,781",-0.1,0.5,"9,736","9,717",1.1,6.8,"15,295","15,277",-0.1,1.4,"2,911","2,863",-4.8,7.2,"5,505","5,495",-0.5,0.7,-506,49,-545,43,693,683,-3.5,7.9,"1,657","1,619",-1.3,9.8,"2,919","2,951",-3.9,-8.5,"3,155","3,194",-3.8,-7.3,"15,753","16,207",0.0,3.9,"24,525","25,362",0.1,-0.7,"4,402","4,261",-3.2,1.4,"5,885","5,640",-2.1,2.8,"3,642","3,697",-1.2,-8.5,"4,521","4,568",-1.1,-1.6
Sep 1988,"27,699","28,111",0.2,-0.3,"17,384","17,861",6.5,10.1,"26,844","27,262",1.8,1.3,"10,255","10,175",4.7,9.3,"15,901","15,741",3.0,3.5,"3,166","3,196",11.6,11.6,"5,573","5,555",1.1,-0.9,-161,43,-263,-5,680,675,-1.2,-5.4,"1,624","1,613",-0.4,-1.4,"3,086","3,015",2.2,-4.1,"3,318","3,232",1.2,-4.2,"17,026","17,063",5.3,7.4,"25,980","25,792",1.7,1.9,"4,285","4,526",6.2,7.3,"5,426","5,698",1.0,-0.7,"3,927","3,756",1.6,-3.1,"4,738","4,539",-0.6,2.2
